SRSXF.KEY$,SRSXF.NOTCH.NO%,SRSXF.SHELF.KEY%,SRSXF.SHELF.DESC$
108:08000=01,2,897,400 GF/GL Lower Base Shelf                          
:=9808000104,8,1248,Three Way Gondola Shelf - Cent                      
170008000304,14,41,400 Wood Shelf                                      
<>4?08000219,9,1816,Hanging Dump Bin incl Ticket H                      
=8008000703,29,901,400 Wood Shelf with Dividers                        
91880800020?,22,1816,Hanging Dump Bin incl Ticket H                      
<:4608000201,51,881,Clip Strip                                          
<>4?08000115,14,1816,Hanging Dump Bin incl Ticket H                      
:=0008000104,7,41,400 Wood Shelf                                      
<:4608000804,18,29,400 Wood Shelf with dividers                        
5=8708000101,0,42,                                                    
<:5508000903,13,71,400 Glass Shelf                                     
6:4<08000401,41,929,1/2 Micro Slat Panel Top with                       
6:5408000104,19,824,300mm Metal Shelf with Divider                      
:43908000201,0,42,                                                    
<7<08000504,24,41,400 Wood Shelf                                      
264208000502,33,1252,400 Wood Shelf with Navigation                      
48??07000202,22,41,400 Wood Shelf                                      
94508000604,6,41,400 Wood Shelf                                      
62:108000104,0,41,400 Wood Shelf                                      
=3:<08000103,17,1701,Three Way Gondola Shelf - Left                      
154<08000108,10,824,300mm Metal Shelf with Divider                      
6:4<08000502,23,823,1/2 Micro Slat Panel Bottom wi                      
4=7505000501,1,891,300mm Metal Gondola Base Shelf                      
80:308000101,2,1480,TOD 500 Shelf (Inc EPOS Strip)                      
34:908000104,7,1701,Three Way Gondola Shelf - Left                      
7>1;08000102,20,41,400 Wood Shelf                                      
<>4?08000305,30,1816,Hanging Dump Bin incl Ticket H                      
<>2608000904,16,115,300 Glass Shelf with dividers                       
3;6108000207,5,319,Fragrance Shelf                                     
<7<08000206,10,41,400 Wood Shelf                                      
457708000304,13,901,400 Wood Shelf with Dividers                        
393107000103,23,1302,400mm Metal Shelf with Divider                      
48508000101,34,946,200 Glass Shelf with Dividers                       
624108000202,20,29,400 Wood Shelf with dividers                        
18:908000105,0,1701,Three Way Gondola Shelf - Left                      
867;08000301,41,945,Upward Extended AS15 Bar with                       
118:08000?03,15,901,400 Wood Shelf with Dividers                        
=36;08000802,22,823,1/2 Micro Slat Panel Bottom wi                      
<>:<08000102,27,1704,Three Way Gondola Shelf - Left                      
4;:608000103,15,1704,Three Way Gondola Shelf - Left                      
<?:<08000101,31,1704,Three Way Gondola Shelf - Left                      
453:08000802,34,252,500 Wood Shelf                                      
918808000308,31,1816,Hanging Dump Bin incl Ticket H                      
95:<08000101,0,326,12" Mid Gondola Promotional Un                      
2<;908000102,20,534,BFSDU Shelf                                         
118:08000:02,23,901,400 Wood Shelf with Dividers                        
1;9308000102,30,1480,TOD 500 Shelf (Inc EPOS Strip)                      
108:08000801,2,897,400 GF/GL Lower Base Shelf                          
529<08000103,15,534,BFSDU Shelf                                         
>91=08000208,2,930,300 GF/GL Lower Base Shelf wit                      
264208000307,2,897,400 GF/GL Lower Base Shelf                          
15:608000103,15,1704,Three Way Gondola Shelf - Left                      
1=;>08000105,0,1701,Three Way Gondola Shelf - Left                      
<7<08000507,7,41,400 Wood Shelf                                      
<:880800010?,26,1816,Hanging Dump Bin incl Ticket H                      
104808000106,28,1556,Dummy Pack - Tray                                   
;>9=08000103,14,1704,Three Way Gondola Shelf - Left                      
71:208000103,14,1701,Three Way Gondola Shelf - Left                      
<:880800011>,9,1816,Hanging Dump Bin incl Ticket H                      
:=0008000405,2,897,400 GF/GL Lower Base Shelf                          
<>1808000109,48,901,400 Wood Shelf with Dividers                        
3;6108000403,36,319,Fragrance Shelf                                     
689108000604,28,319,Fragrance Shelf                                     
5:9708000103,18,1704,Three Way Gondola Shelf - Left                      
997708000301,21,433,IQM Single Half Width Shelf                         
115?08000406,5,901,400 Wood Shelf with Dividers                        
<2:608000101,0,42,                                                    
453:08000<02,43,252,500 Wood Shelf                                      
569<08000101,37,40,300 Wood Shelf                                      
<?::08000103,14,534,BFSDU Shelf                                         
3=4903000106,21,8,Side Convenience Unit Shelf                         
<>4?0800010;,26,1816,Hanging Dump Bin incl Ticket H                      
=>:908000102,21,534,BFSDU Shelf                                         
>?7=08000208,9,1281,400 Glass Shelf with LED Illum                      
8=8407000101,0,1701,Three Way Gondola Shelf - Left                      
325008000102,39,1816,Hanging Dump Bin incl Ticket H                      
?;<08000105,5,29,400 Wood Shelf with dividers                        
>91=08000106,13,896,300 Wood Shelf with Dividers                        
>86108000303,36,319,Fragrance Shelf                                     
<>4?08000106,30,1816,Hanging Dump Bin incl Ticket H                      
689108000106,12,319,Fragrance Shelf                                     
4=7505000=01,1,891,300mm Metal Gondola Base Shelf                      
539>08000104,5,534,BFSDU Shelf                                         
:10=07000101,0,42,                                                    
154<08000206,22,824,300mm Metal Shelf with Divider                      
199308000103,19,1480,TOD 500 Shelf (Inc EPOS Strip)                      
0:9<08000101,0,326,12" Mid Gondola Promotional Un                      
078708000101,2,897,400 GF/GL Lower Base Shelf                          
539>08000101,31,534,BFSDU Shelf                                         
<28:08000203,15,41,400 Wood Shelf                                      
8:608000105,0,1704,Three Way Gondola Shelf - Left                      
513=08000304,5,41,400 Wood Shelf                                      
><5208000403,38,904,300 Glass Shelf with Dividers                       
2?3608000203,22,824,300mm Metal Shelf with Divider                      
94508000302,29,41,400 Wood Shelf                                      
;6:>08000101,0,321,15" Mid Gondola Promotional Un                      
689108000205,20,319,Fragrance Shelf                                     
9?4508000501,37,929,1/2 Micro Slat Panel Top with                       
059808000102,24,1248,Three Way Gondola Shelf - Cent                      
767:08000102,41,1397,Fridge Shelf with dividers and                      
918808000319,10,1816,Hanging Dump Bin incl Ticket H                      
585;08000206,1,825,300mm Metal Gondola Base Shelf                      
108:08000:01,2,897,400 GF/GL Lower Base Shelf                          
118:08000=05,5,901,400 Wood Shelf with Dividers                        
<69=08000101,0,1546,400mm Mid Gondola Site                              
=8008000304,13,901,400 Wood Shelf with Dividers                        
681=08000105,14,41,400 Wood Shelf                                      
095108000303,13,43,400 Glass Shelf with dividers                       
48508000501,34,946,200 Glass Shelf with Dividers                       
918808000212,18,1816,Hanging Dump Bin incl Ticket H                      
118:08000506,2,897,400 GF/GL Lower Base Shelf                          
93;708000302,32,1845,In-Queue Hopper Upper Section                       
059808000101,31,1248,Three Way Gondola Shelf - Cent                      
457708000302,29,901,400 Wood Shelf with Dividers                        
2=9:08000702,37,1411,200mm Metal Shelf with Divider                      
918808000209,26,1816,Hanging Dump Bin incl Ticket H                      
<78908000501,35,933,Slat Panel Beech with 250mm Ho                      
450008001104,7,41,400 Wood Shelf                                      
:40308000101,36,41,400 Wood Shelf                                      
32500800010:,31,1816,Hanging Dump Bin incl Ticket H                      
=?4:08000107,3,930,300 GF/GL Lower Base Shelf wit                      
7;3<08000103,8,41,400 Wood Shelf                                      
32500800011;,14,1816,Hanging Dump Bin incl Ticket H                      
457708000105,5,901,400 Wood Shelf with Dividers                        
:1:708000201,48,29,400 Wood Shelf with dividers                        
118:08000;02,21,901,400 Wood Shelf with Dividers                        
=48:08000101,48,946,200 Glass Shelf with Dividers                       
1;9308000105,2,1480,TOD 500 Shelf (Inc EPOS Strip)                      
796=08000105,5,41,400 Wood Shelf                                      
<90208000302,31,1214,Integrated Microslat Panel 9"                       
4?7:08000201,30,41,400 Wood Shelf                                      
918808000305,31,1816,Hanging Dump Bin incl Ticket H                      
=>:908000103,13,534,BFSDU Shelf                                         
::908000101,0,42,                                                    
59108000206,13,319,Fragrance Shelf                                     
450008000?05,7,41,400 Wood Shelf                                      
:40308000602,25,41,400 Wood Shelf                                      
>:3<08000103,15,41,400 Wood Shelf                                      
5690800040<,1,30,400 Base with dividers                              
90?07000101,1,42,                                                    
453:08000504,5,252,500 Wood Shelf                                      
