SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$
27020800,GiftGFSD                                          ,Christmas Gift Guide FSDU                                                                           ,               
3?060700,Nat Col R&R 2Mod G                                ,#Natural Collection Cosmetics R&R 2.0G GF                                                           ,               
879>0800,Prof hair mid                                     ,Professional Haircare 1 Mid Gondola Mainstream                                                      ,               
68:=0800,0000023802                                        ,Feedtime 1 Mid Gondola Mainstream                                                                   ,               
8?840700,3WayHCGE1                                         ,PH Healthcare End 1 1.0Y Three Way Unit                                                             ,               
51870800,Rimmel Cosmetics Hot Spot LGE 1 Stock POG         ,#Rimmel Cosmetics Hot Spot LGE 1 Stock POG                                                          ,               
20:90800,0000490946                                        ,Toiletries End 1 1.0Y Three Way Unit Left                                                           ,               
:=:<0800,HBD 1 Mid GL                                      ,Hand and Body 1 Mid Gondola Mainstream                                                              ,               
05880800,Sunglasses 7                                      ,Sunglasses 7.0G Destination GF                                                                      ,               
:5930800,S/Tan1                                            ,Self Tan in Skincare 400mm 1.0G GLF                                                                 ,               
159;0800,No7HiddenGems2                                    ,No7 Hidden Gems 2                                                                                   ,               
49390800,FlexSp20                                          ,Christmas Flexible CIN/EB Site 20                                                                   ,               
7?9>0800,SunHEnd1                                          ,Sun Shop End 1 1.0Y Mainstream                                                                      ,               
<>950800,BFSDU                                             ,NPD Branded FSDU 1 1.0Z                                                                             ,               
3>9:0800,BFSDU                                             ,Toiletries Branded FSDU 6 1.0Z                                                                      ,               
6610800,FlexSp7                                           ,Christmas Flexible EB Floorstack Site 7                                                             ,               
>4990800,Skin 1 Mid GL                                     ,Everyday Facial Skincare 1 Mid Gondola Mainstream                                                   ,               
17:40800,BFSDU                                             ,Toiletries Branded FSDU 6 1.0Z                                                                      ,               
><520800,PM8JT                                             ,Pharmacy Medicines HR 300mm 8.0J GF                                                                 ,               
<9:<0800,0000491050                                        ,Toiletries End 5 1.0Y Three Way Unit Left                                                           ,               
<:460800,BFood9                                            ,Baby Food 400mm 9.0G GF                                                                             ,               
7=930800,Rimmel Cosmetics Hot Spot LGE 2 Stock POG         ,Rimmel 3 Cosmetics Hot Spot 400mm                                                                   ,               
>0:<0800,0000491066                                        ,Toiletries End 7 1.0Y Three Way Unit Left                                                           ,               
<?840800,0000307529                                        ,#L Oreal Cosmetics Hot Spot LGE 2 Stock POG                                                         ,               
==:<0800,0000491062                                        ,Toiletries End 6 1.0Y Three Way Unit Centre                                                         ,               
219>0800,Premskinmid                                       ,Premium Facial Skincare Loreal Mid Gondola 300mm                                                    ,               
;6:70800,BFSDU                                             ,Healthcare Branded FSDU 2 1.0Z                                                                      ,               
7:950800,CTU 4-7                                           ,No7 Q CTU 4mod+ 2                                                                                   ,               
885?0800,Depils3G                                          ,Depilatories 400mm 3.0G 1/2Panel GF                                                                 ,               
0>7;0800,Bourjois R&R 2 Mod                                ,#Bourjois 2 Mod R&R Product POG                                                                     ,               
33950800,Dep Mid                                           ,Depilatories Mid Gondola Mainstream                                                                 ,               
7:8;0800,Snacks 3                                          ,Snacks Other Worker B 400mm 3.0W GF                                                                 ,               
<?:60800,Soap&Glory Hot Spot Stock POG                     ,Soap and Glory 1 Cosmetics Hot Spot 400mm                                                           ,               
75=;0100,AD Card Kiosk                                     ,AD Card Kiosk                                                                                       ,               
;5710800,Chi'd K1                                          ,Chilled Food Other Worker B (K) 1.0V GF                                                             ,               
1100800,Frames5                                           ,Frames 400mm 5.0G Destination GF                                                                    ,               
=4910800,BBEBFSDU2                                         ,PH BBE Branded FSDU 2 1.0Z                                                                          ,               
<8::0800,3WaySSGE3C                                        ,Sun Shop End 3 1.0Y Three Way Unit Centre                                                           ,               
;9:<0800,Deods mid                                         ,Deodorants Mid Gondola Mainstream                                                                   ,               
64:90800,Skin 1 Mid GL                                     ,Everyday Facial Skincare 1 Mid Gondola Mainstream                                                   ,               
50020800,FlexSp5                                           ,Christmas Flexible Rollwrap Site 5                                                                  ,               
82:10800,Nappy BFSDU1                                      ,Nappies Branded FSDU 1 1.0Z                                                                         ,               
6<640800,Soap & Glory R&R 1 Mod                            ,#Soap & Glory 1 Mod R&R Product POG                                                                 ,               
23<40500,Bts.com                                           ,Baby Guide FSDU 1                                                                                   ,               
<:550800,EFS10                                             ,Everyday Facial Skincare 2006 400mm 10.0G GF                                                        ,               
767:0800,Chi'd K1                                          ,Chilled Food Other Worker B (K) 1.0V GF                                                             ,               
029<0800,Toil1 FSDU                                        ,Toiletries FSDU 1 1.0Z Large                                                                        ,               
0=6:0800,MassFrag2                                         ,Mass Fragrance 400mm 2.0W GF                                                                        ,               
705=0800,T-B Bowl                                          ,In Queue Tensator Bowls                                                                             ,               
4<:60800,0000491151                                        ,Healthcare End 3 3.0Z Three Way Unit Right                                                          ,               
3>:<0800,FragSS1                                           ,Fragrance Supersite Ladies 1.0G                                                                     ,               
18:90800,0000491035                                        ,Toiletries End 3 1.0Y Three Way Unit Right                                                          ,               
02080700,CLLCTN  R&R 1Mod                                  ,#Collection Cosmetics R&R 1.0G GF                                                                   ,               
8=9?0800,No7HiddenGems1                                    ,No7 Hidden Gems 1                                                                                   ,               
>79=0800,0000491152                                        ,Healthcare End 3 3.0Z Three Way Unit Centre                                                         ,               
59;60800,frgunit1                                          ,PH Fragrance Mini Tod 1 1.0Z                                                                        ,               
;3310800,Albums 5                                          ,Albums 400mm 5.0G Destination GF                                                                    ,               
>?990800,Mens Mid                                          ,Mens C Mid Gondola Mainstream                                                                       ,               
>5::0800,BFSDU                                             ,Toiletries Branded FSDU 7 1.0Z                                                                      ,               
>9=0800,0000491137                                        ,Healthcare End 1 3.0Z Three Way Unit Right                                                          ,               
:4030800,MenTG13                                           ,Mens Toiletry Gift 400mm 13.0G GF                                                                   ,               
2?360800,DC 3                                              ,Digestive Care 300mm 3.0G HH1 GLF                                                                   ,               
459<0800,CLIP7                                             ,UK Clipstrip 7                                                                                      ,               
8=9:0800,PPS6G                                             ,Prime Promotional Site 6.0G                                                                         ,               
82:<0800,BFSDU                                             ,NPD Branded FSDU 1 1.0Z                                                                             ,               
15780800,Essie R&R 1 Mod                                   ,#Essie 1 Mod R&R Product POG                                                                        ,               
77:20800,0000491162                                        ,Photo End 1 3.0Z Three Way Unit Right                                                               ,               
46:<0800,EBtyEnd1                                          ,Electrical Beauty End 1 1.0Y Mainstream                                                             ,               
=3::0800,3WaySSGE3R                                        ,Sun Shop End 3 1.0Y Three Way Unit Right                                                            ,               
25??0600,Bourjois Cosmetics R&R 2Mod G                     ,#Bourjois Cosmetics R&R 2.0G GF                                                                     ,               
>9<0700,HOT                                               ,IQM HOTSPOT                                                                                         ,               
<7:>0800,BarryM R&R 1 Mod                                  ,#BarryM 1 Mod R&R Product POG                                                                       ,               
61;80800,WMD mid                                           ,Weight Management 1 Mid Gondola Mainstream                                                          ,               
569<0800,ToilEnd2                                          ,Toiletries End 2 1.0Y Large                                                                         ,               
18100800,Footcare4G                                        ,Footcare 300mm 4.0G HH1 GLF                                                                         ,               
8950800,Pers Wash Mid                                     ,Personal Wash 1 Mid Gondola Mainstream                                                              ,               
