SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$,,
5980800,3WayHCSPEnd4C                                     ,Healthcare End 4 3.0Z Three Way Unit Centre                                                         ,               ,,
71900800,Essie Hot Spot Stock POG                          ,Essie 1 Cosmetics Hot Spot 400mm                                                                    ,               ,,
<24<0800,491062,Toiletries End 6 1.0Y Three Way Unit Centre                                                         ,               ,,
4660800,Colours Mid                                       ,Colours 3 Mid Gondola Mainstream                                                                    ,               ,,
<44?0800,Bourjois R&R 2 Mod                                ,#Bourjois 2 Mod R&R Product POG                                                                     ,               ,,
62:10800,EBtyEnd1                                          ,Electrical Beauty End 1 1.0Y Mainstream                                                             ,               ,,
2=9>0800,BFSDU                                             ,Healthcare Branded FSDU 1 1.0Z                                                                      ,               ,,
777;0800,Dent3                                             ,Dental 3 Mid Gondola Mainstream                                                                     ,               ,,
9=9<0800,Tiss Mid                                          ,Tissues 1 Mid Gondola Mainstream                                                                    ,               ,,
>7470800,Ind Bath Mid                                      ,Indulgent Body Care & Gift 1 Mid Gondola 300mm                                                      ,               ,,
:2550800,Dig Care Mid                                      ,Digestive Care 1 Mid Gondola 300mm                                                                  ,               ,,
9:790800,491035,Toiletries End 3 1.0Y Three Way Unit Right                                                          ,               ,,
72690800,3WayTGE4C                                         ,Toiletries End 4 1.0Y Three Way Unit Centre                                                         ,               ,,
4850800,IndBathing12                                      ,Indulgent Body Care & Gift 400mm 12.0G GF                                                           ,               ,,
0?910800,St/GEnd                                           ,Star Gift End 400mm 1.0Y GF                                                                         ,               ,,
858>0800,C&C MID                                           ,Cough Cold Mid Gondola Mainstream                                                                   ,               ,,
9<300800,BathAccs5                                         ,Bathing Accessories 400mm 5.0G Opt GF                                                               ,               ,,
1<900800,SunHEnd1                                          ,Sun Shop End 1 1.0Y Mainstream                                                                      ,               ,,
046>0800,491137,Healthcare End 1 3.0Z Three Way Unit Right                                                          ,               ,,
<05;0800,Fam plan mid                                      ,Family Planning 1 Mid Gondola Mainstream                                                            ,               ,,
=:4>0800,Prem Skin Mid                                     ,Premium Facial Skincare 1 Mid Gondola Small 300mm                                                   ,               ,,
>:8>0800,Dent3                                             ,Dental 3 Mid Gondola Mainstream                                                                     ,               ,,
729=0800,Eye mid                                           ,Eyecare 1 Mid Gondola Mainstream                                                                    ,               ,,
598?0800,SunOld                                            ,"Self Tan ""Old"" Stock Product POG                                                                    ",               ,,
8?8>0800,Hlth Bkwll Mid3                                   ,Healthcare Backwall Mid Gondola 3                                                                   ,               ,,
35:90800,BFSDU                                             ,Cosmetics Branded FSDU 2 1.0Z                                                                       ,               ,,
;57:0800,3WayTGE4L                                         ,Toiletries End 4 1.0Y Three Way Unit Right                                                          ,               ,,
7<810800,BabyEnd1                                          ,Baby End 1 1.0Y Large                                                                               ,               ,,
9?450800,BtyAccs6                                          ,Beauty Accessories 400mm 6.0G 1/2Panels GF                                                          ,               ,,
1810800,3WayHCSPEnd4L                                     ,Healthcare End 4 3.0Z Three Way Unit Left                                                           ,               ,,
9>8>0800,Prem Skin Mid                                     ,Premium Facial Skincare 1 Mid Gondola Small 300mm                                                   ,               ,,
>590800,FPlan3                                            ,Family Planning 300mm 3.0G HH1 GLF                                                                  ,               ,,
760800,CosEnd1                                           ,Cosmetic End 1 (Large - No7 4+ Mods)                                                                ,               ,,
668?0800,491035,Toiletries End 3 1.0Y Three Way Unit Right                                                          ,               ,,
;64?0800,Skin 1 Mid GL                                     ,Everyday Facial Skincare 3 Mid Gondola Mainstream                                                   ,               ,,
37620800,No7 BFSDU1                                        ,No7 Q BFSDU 7 mod+                                                                                  ,               ,,
:0790800,BFSDU                                             ,Toiletries Branded FSDU 6 1.0Z                                                                      ,               ,,
;9:90800,BBEBFSDU11                                        ,BBE Branded FSDU 3 1.0Z                                                                             ,               ,,
>1660800,3WayTGE3L                                         ,Toiletries End 3 1.0Y Three Way Unit Left                                                           ,               ,,
108:0800,BasicSunPreps16                                   ,PH Sun Preparations 400mm 16.0G Destination GF                                                      ,               ,,
933>0800,491162,Photo End 1 3.0Z Three Way Unit Right                                                               ,               ,,
26?0800,No7 7J Wall                                       ,#No7 Q Cosmetics 7.0J GF P3                                                                         ,               ,,
31840700,3WayTGE3                                          ,PH Toiletries End 3 1.0Y Three Way Unit                                                             ,               ,,
3:??0700,XGreet1                                           ,Christmas Greetings 400mm 1.0G GF                                                                   ,               ,,
1<680800,LFFCab8                                           ,Ladies Fine Fragrance Cabinet 8.0J GF                                                               ,               ,,
37660800,ToilEnd2                                          ,Toiletries End 2 1.0Y Large                                                                         ,               ,,
<9670800,Premskinmid                                       ,Premium Facial Skincare Loreal Mid Gondola 300mm                                                    ,               ,,
1=9:0800,Cos End 3                                         ,Cosmetic End 3 1.0Y Mainstream                                                                      ,               ,,
=<9=0800,491161,Photo End 1 3.0Z Three Way Unit Centre                                                              ,               ,,
0=;90800,491144,Healthcare End 2 3.0Z Three Way Unit Right                                                          ,               ,,
115?0800,Mens Toil 12                                      ,Everyday Mens Toiletries 400mm 12.0G GF                                                             ,               ,,
73020800,HomeFrag3                                         ,Home Fragrance 400mm 3.0G GF                                                                        ,               ,,
<<::0800,SunHEnd2                                          ,Sun Shop End 2 1.0Y Mainstream                                                                      ,               ,,
8?:60800,491143,Healthcare End 2 3.0Z Three Way Unit Left                                                           ,               ,,
99770800,IQM3DIS/W                                         ,Dispensing Queue System 3.0G + Water Unit                                                           ,               ,,
9>490800,IQM3DIS/W                                         ,Dispensing Queue System 3.0G + Water Unit                                                           ,               ,,
62:30800,Dental Mid GL                                     ,Dental 2 Mid Gondola Mainstream                                                                     ,               ,,
;6720800,BFSDU                                             ,Healthcare Branded FSDU 3 1.0Z                                                                      ,               ,,
=;000800,Teen5                                             ,Teen And Girls 400mm 5.0G GF                                                                        ,               ,,
7920800,IQM4+W                                            ,IQM UK Queue System 4.0G + Water Unit                                                               ,               ,,
